,Company(1),Business Description,Investment,Interest(5)(9),,Acquisition  Date,,Amortized  Cost,Fair  Value
701,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Series B preferred stock (348,615 shares)",0,0,8/5/2010,0,1.0,0.0
702,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Series B preferred stock (1,401,385 shares)",0,0,8/5/2010,0,4.0,0.0
703,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Series C preferred stock (517,942 shares)",0,0,6/7/2010,0,0.1,0.0
704,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Series C preferred stock (1,994,644 shares)",0,0,6/7/2010,0,0.5,0.0
705,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,Common stock (4 shares),0,0,6/7/2010,0,0.0,0.0
706,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,Common stock (16 shares),0,0,6/7/2010,0,0.0,0.0
707,PIH Corporation and Primrose Holding Corporation (4),Franchisor of education-based early childhood centers,"Common stock (7,227 shares)",0,0,1/3/2017,0,4.6,18.8
708,"R3 Education Inc., Equinox EIC Partners LLC and Sierra Education Finance Corp.",Medical school operator,Common membership interest (15.76% interest),0,0,9/21/2007,0,15.8,15.1
709,"R3 Education Inc., Equinox EIC Partners LLC and Sierra Education Finance Corp.",Medical school operator,"Warrant to purchase up to 27,890 shares (expires 3/2020)",0,0,12/8/2009,0,0.0,8.2
710,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,Second lien senior secured loan ($66.0 par due 5/2023),8.88% (Libor + 6.95%/Q),0,12/23/2014,0,65.9,66.0
711,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"Common stock (30,000 shares)",0,0,12/23/2014,0,3.0,4.4
712,"Rug Doctor, LLC and RD Holdco Inc. (5)",Manufacturer and marketer of carpet cleaning machines,Second lien senior secured loan ($16.9 par due 5/2023),11.54% (Libor + 9.75%/M),0,1/3/2017,0,16.9,16.9
713,"Rug Doctor, LLC and RD Holdco Inc. (5)",Manufacturer and marketer of carpet cleaning machines,"Common stock (458,596 shares)",0,0,1/3/2017,0,14.0,5.1
714,"Rug Doctor, LLC and RD Holdco Inc. (5)",Manufacturer and marketer of carpet cleaning machines,"Warrant to purchase up to 56,372 shares of common stock (expires 12/2023)",0,0,1/3/2017,0,0.0,0.0
715,"Woodstream Group, Inc. and Woodstream Corporation",Manufacturer of natural solution pest and animal control products,First lien senior secured loan ($11.8 par due 5/2022),8.04% (Libor + 6.25%/M),0,6/21/2017,0,11.8,11.8
716,"Woodstream Group, Inc. and Woodstream Corporation",Manufacturer of natural solution pest and animal control products,First lien senior secured loan ($4.7 par due 5/2022),8.00% (Libor + 6.25%/Q),0,6/21/2017,0,4.7,4.7
717,"CMW Parent LLC (fka Black Arrow, Inc.)",Multiplatform media firm,Series A units (32 units),0,0,9/11/2015,0,0.0,0.0
718,"Production Resource Group, L.L.C.","Provider of rental equipment, labor, production management, scenery, and other products to various entertainment end-markets",First lien senior secured loan ($101.0 par due 8/2024),8.90% (Libor + 7.00%/Q),0,8/21/2018,0,101.0,90.9
719,"The Teaching Company Holdings, Inc.",Education publications provider,"Preferred stock (10,663 shares)",0,0,9/29/2006,0,1.1,0.0
720,"The Teaching Company Holdings, Inc.",Education publications provider,"Common stock (15,393 shares)",0,0,9/29/2006,0,0.0,0.0
721,"Everspin Technologies, Inc.",Designer and manufacturer of computer memory solutions,"Warrant to purchase up to 18,461 shares of common stock (expires 10/2026)",0,0,10/7/2016,0,0.4,0.0
722,"DRB Holdings, LLC (17)",Provider of integrated technology solutions to car wash operators,First lien senior secured loan ($23.5 par due 10/2023),7.92% (Libor + 6.00%/Q),0,10/6/2017,0,23.5,23.2
723,"Infinite Electronics International, Inc. (17)",Manufacturer and distributor of radio frequency and microwave electronic components,First lien senior secured revolving loan,0,0,7/2/2018,0,0.0,0.0
724,"Infinite Electronics International, Inc. (17)",Manufacturer and distributor of radio frequency and microwave electronic components,First lien senior secured loan ($13.3 par due 7/2025),5.80% (Libor + 4.00%/M),0,7/2/2018,0,13.3,13.0
725,"Ioxus, Inc. (4)(17)",Manufacturer of energy storage devices,First lien senior secured revolving loan ($0.4 par due 1/2020),0,0,12/24/2019,0,0.4,0.2
726,"Ioxus, Inc. (4)(17)",Manufacturer of energy storage devices,First lien senior secured loan ($6.2 par due 12/2019),0,0,4/29/2014,0,6.2,3.9
727,"Ioxus, Inc. (4)(17)",Manufacturer of energy storage devices,"Series CC preferred stock (1,683,265 shares)",0,0,9/7/2017,0,0.7,0.0
728,"Ioxus, Inc. (4)(17)",Manufacturer of energy storage devices,"Warrant to purchase up to 30,256 shares of Series BB preferred stock (expires 8/2026)",0,0,8/24/2016,0,0.0,0.0
729,"Ioxus, Inc. (4)(17)",Manufacturer of energy storage devices,"Warrant to purchase up to 8,416,326 shares of Series CC preferred stock (expires 1/2027)",0,0,1/27/2017,0,0.0,0.0
730,"Ioxus, Inc. (4)(17)",Manufacturer of energy storage devices,"Warrant to purchase up to 75,968 shares of common stock (expires 1/2026)",0,0,1/28/2016,0,0.0,0.0
731,Micromeritics Instrument Corp. (17),Scientific instrument manufacturer,First lien senior secured revolving loan ($2.7 par due 12/2025),6.74% (Libor + 5.00%/Q),0,12/18/2019,0,2.7,2.7
732,Micromeritics Instrument Corp. (17),Scientific instrument manufacturer,First lien senior secured loan ($32.7 par due 12/2025),6.74% (Libor + 5.00%/Q),0,12/18/2019,0,32.7,32.4
733,"Edward Don & Company, LLC and VCP-EDC Co-Invest, LLC",Distributor of foodservice equipment and supplies,"Membership units (2,970,000 units)",0,0,6/9/2017,0,3.0,2.9
734,"FS Squared Holding Corp. and FS Squared, LLC (17)",Provider of on-site vending and micro market solutions,First lien senior secured revolving loan ($1.0 par due 3/2024),7.06% (Libor + 5.25%/Q),0,3/28/2019,0,1.0,1.0
735,"FS Squared Holding Corp. and FS Squared, LLC (17)",Provider of on-site vending and micro market solutions,First lien senior secured loan ($4.3 par due 3/2025),7.05% (Libor + 5.25%/M),0,3/28/2019,0,4.3,4.3
736,"FS Squared Holding Corp. and FS Squared, LLC (17)",Provider of on-site vending and micro market solutions,First lien senior secured loan ($0.1 par due 3/2025),7.05% (Libor + 5.25%/M),0,3/28/2019,0,0.1,0.1
737,"FS Squared Holding Corp. and FS Squared, LLC (17)",Provider of on-site vending and micro market solutions,"Class A units (99,500 units)",0,0,3/28/2019,0,10.0,12.4
738,"JWC/KI Holdings, LLC",Foodservice sales and marketing agency,"Membership units (5,000 units)",0,0,11/16/2015,0,5.0,7.1
739,SFE Intermediate Holdco LLC (17),Provider of outsourced foodservice to K-12 school districts,First lien senior secured loan ($10.7 par due 7/2024),6.64% (Libor + 4.75%/Q),0,9/5/2018,0,10.7,10.7
740,SFE Intermediate Holdco LLC (17),Provider of outsourced foodservice to K-12 school districts,First lien senior secured loan ($6.6 par due 7/2024),6.68% (Libor + 4.75%/Q),0,7/31/2017,0,6.6,6.6
741,"Emergency Communications Network, LLC (17)",Provider of mission critical emergency mass notification solutions,First lien senior secured revolving loan ($6.5 par due 6/2022),8.47% (Libor + 6.25%/Q),0,6/1/2017,0,6.5,5.7
742,"Emergency Communications Network, LLC (17)",Provider of mission critical emergency mass notification solutions,First lien senior secured loan ($44.4 par due 6/2023),8.14% (Libor + 6.25%/Q),0,6/1/2017,0,44.2,38.7
743,BW Landco LLC (5),Real estate developer,Membership interest (100%),0,0,7/5/2019,0,19.9,25.2
744,NECCO Realty Investments LLC (5),Real estate holding company,"Membership units (7,450 units)",0,0,1/3/2017,0,0.0,0.0
745,Grand Total,Real estate holding company,0,0,0,0,0,14695.5,14425.8
